Sample	No_rec_fused_gene
BS_014EVM2D	1
BS_02EBZYZ3	1
BS_02NZT8CE	1
BS_03FT4S8B	1
BS_0448A413	1
BS_044XZ8ST	1
BS_052PZFMK	1
BS_05TTCK08	1
BS_063ERW0R	1
BS_06AMMCXR	1
BS_06XH7EVF	1
BS_07ANYSYQ	1
BS_09R7GDA7	1
BS_09Z7TC35	1
BS_0BXY0F9N	1
BS_0C7VZC0A	1
BS_0DEVPYPE	1
BS_0FRZD0VR	1
BS_0J9SHHSC	1
BS_0QYS36NR	1
BS_0RF0EZTV	1
BS_0SCXXM6N	1
BS_0SPCTBZY	1
BS_0T17SY47	1
BS_0VRSD9V3	1
BS_0WQJP6ZG	1
BS_0WVJYM9R	1
BS_0X9EGHY2	1
BS_0XEG6SNV	1
BS_0Y66ZBWE	1
BS_0ZA67BBC	1
BS_10APZRVT	1
BS_11WY983P	1
BS_13CGKADW	1
BS_15ETQ0E4	1
BS_1607397Q	1
BS_17WYVEEC	1
BS_196BBNEJ	1
BS_1AYRM596	1
BS_1BWP5MCT	1
BS_1EBQ3T20	1
BS_1EN5V3XW	1
BS_1HFK0SXV	1
BS_1HQ76V6D	1
BS_1JDG6JV5	1
BS_1N9XZXGE	1
BS_1NPD7PVG	1
BS_1QNTEZPS	1
BS_1RT76ANT	1
BS_1SVVER1H	1
BS_1T19NFJ8	1
BS_1TPWFSK6	1
BS_1XJ73KBQ	1
BS_1ZVXF5FE	1
BS_21ASRS3T	1
BS_21RE8W46	1
BS_23M72ABG	1
BS_23QW0BBA	1
BS_23W9EPFE	1
BS_24AHZ9ZW	1
BS_258RRGDM	1
BS_25T139TX	1
BS_264RCK7G	1
BS_273HKCT4	1
BS_277SBSCP	1
BS_27QE6BV7	1
BS_29006KEX	1
BS_29CPJ040	1
BS_29X4ZX6Q	1
BS_2A5R9MEJ	1
BS_2AAYYPVH	1
BS_2ADZNNV4	1
BS_2AR3AP0N	1
BS_2EMW8ZG3	1
BS_2EN3X6HB	1
BS_2JP7RBMB	1
BS_2KJ2YAZR	1
BS_2R9TCR03	1
BS_2SFTWNVE	1
BS_2SHWPB5P	1
BS_2WPQ8YCW	1
BS_2XD3MNKD	1
BS_2YCJV2VV	1
BS_2Z1MKS84	1
BS_30VC3R2Q	1
BS_31TF0P1N	1
BS_34201DKZ	1
BS_37GTVG4N	1
BS_398KYV92	1
BS_399RPKC9	1
BS_39CGACC7	1
BS_3AC3SRWH	1
BS_3BVVWHP5	1
BS_3DCBDJAT	1
BS_3EVSN5QD	1
BS_3F4FQJMR	1
BS_3G3KWY18	1
BS_3GZN3RTH	1
BS_3H71BH6Q	1
BS_3J85TTZM	1
BS_3KHXMAJF	1
BS_3KW5B3GY	1
BS_3MS8WVNR	1
BS_3MYEMXPQ	1
BS_3NNQ6PSB	1
BS_3NWQXPQV	1
